Source ID,Media URL
001AE001001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AE001001/full/max/0/default.jpg
001AE001002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AE001002/full/max/0/default.jpg
001AE001003,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AE001003/full/max/0/default.jpg
001AF001001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AF001001/full/max/0/default.jpg
001ALA011001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011001/full/max/0/default.jpg
001ALA011002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011002/full/max/0/default.jpg
001ALA011003,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011003/full/max/0/default.jpg
001ALA011004,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011004/full/max/0/default.jpg
001ALA011005,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011005/full/max/0/default.jpg
001ALA011006,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011006/full/max/0/default.jpg
001ALA011007,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011007/full/max/0/default.jpg
001ALA011008,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011008/full/max/0/default.jpg
001ALA011009,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011009/full/max/0/default.jpg
001ALA011010,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011010/full/max/0/default.jpg
001ALA011011,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011011/full/max/0/default.jpg
001ALA011012,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011012/full/max/0/default.jpg
001ALA011013,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011013/full/max/0/default.jpg
001ALA011014,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011014/full/max/0/default.jpg
001ALA011015,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011015/full/max/0/default.jpg
001ALA011016,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011016/full/max/0/default.jpg
001ALA011017,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011017/full/max/0/default.jpg
001ALA011018,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011018/full/max/0/default.jpg
001ALA011019,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011019/full/max/0/default.jpg
001ALA011020,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001ALA011020/full/max/0/default.jpg
001AM001001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM001001/full/max/0/default.jpg
001AM002001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM002001/full/max/0/default.jpg
001AM002002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM002002/full/max/0/default.jpg
001AM003,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM003/full/max/0/default.jpg
001AM004,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM004/full/max/0/default.jpg
001AM005001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM005001/full/max/0/default.jpg
001AM005002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM005002/full/max/0/default.jpg
001AM006,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM006/full/max/0/default.jpg
001AM008,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM008/full/max/0/default.jpg
001AM010,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM010/full/max/0/default.jpg
001AM011,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM011/full/max/0/default.jpg
001AM012001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM012001/full/max/0/default.jpg
001AM012002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM012002/full/max/0/default.jpg
001AM012003,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM012003/full/max/0/default.jpg
001AM013,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM013/full/max/0/default.jpg
001AM014001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM014001/full/max/0/default.jpg
001AM014002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AM014002/full/max/0/default.jpg
001AMF013001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013001/full/max/0/default.jpg
001AMF013002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013002/full/max/0/default.jpg
001AMF013003,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013003/full/max/0/default.jpg
001AMF013005,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013005/full/max/0/default.jpg
001AMF013007,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013007/full/max/0/default.jpg
001AMF013009,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013009/full/max/0/default.jpg
001AMF013010,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF013010/full/max/0/default.jpg
001AMF015001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015001/full/max/0/default.jpg
001AMF015002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015002/full/max/0/default.jpg
001AMF015008,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015008/full/max/0/default.jpg
001AMF015015,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015015/full/max/0/default.jpg
001AMF015016,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015016/full/max/0/default.jpg
001AMF015020,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015020/full/max/0/default.jpg
001AMF015022,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015022/full/max/0/default.jpg
001AMF015024,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015024/full/max/0/default.jpg
001AMF015025,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF015025/full/max/0/default.jpg
001AMF016001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016001/full/max/0/default.jpg
001AMF016002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016002/full/max/0/default.jpg
001AMF016005,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016005/full/max/0/default.jpg
001AMF016006,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016006/full/max/0/default.jpg
001AMF016007,
001AMF016008,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016008/full/max/0/default.jpg
001AMF016009,
001AMF016016,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016016/full/max/0/default.jpg
001AMF016025,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016025/full/max/0/default.jpg
001AMF016026,
001AMF016037,
001AMF016042,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AMF016042/full/max/0/default.jpg
001AN01001001,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001001/full/max/0/default.jpg
001AN01001002,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001002/full/max/0/default.jpg
001AN01001003,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001003/full/max/0/default.jpg
001AN01001004,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001004/full/max/0/default.jpg
001AN01001006,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001006/full/max/0/default.jpg
001AN01001007,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001007/full/max/0/default.jpg
001AN01001008,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001008/full/max/0/default.jpg
001AN01001009,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001009/full/max/0/default.jpg
001AN01001010,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001010/full/max/0/default.jpg
001AN01001011,https://imaginerio-images.s3.us-east-1.amazonaws.com/iiif/001AN01001011/full/max/0/default.jpg
